date,portfolio_monthly_return,portfolio_value,sp500_value
2015-09,0.0,10000,10000
2015-10,2.271599,10227,10852
2015-11,-1.414426,10083,10891
2015-12,-1.502895,9931,10704
2016-01,1.015771,10032,10171
2016-02,2.111957,10244,10162
2016-03,2.381067,10488,10846
2016-04,1.046763,10597,10887
2016-05,0.443005,10644,11073
2016-06,4.052757,11076,11112
2016-07,1.464033,11238,11517
2016-08,-0.576424,11173,11531
2016-09,-0.147926,11157,11532
2016-10,-3.005617,10821,11331
2016-11,-3.012744,10495,11749
2016-12,0.627506,10561,11986
2017-01,1.19988,10688,12201
2017-02,2.114288,10914,12682
2017-03,-0.575309,10851,12696
2017-04,1.040918,10964,12822
2017-05,1.086254,11083,13005
2017-06,0.244509,11110,13087
2017-07,0.837561,11203,13356
2017-08,1.86375,11412,13395
2017-09,-0.426925,11363,13665
2017-10,0.84423,11459,13987
2017-11,1.281231,11606,14414
2017-12,1.542012,11785,14589
2018-01,0.471687,11841,15410
2018-02,-2.918872,11495,14851
2018-03,0.950287,11604,14444
2018-04,-0.622368,11532,14518
2018-05,1.802512,11740,14871
2018-06,0.327534,11778,14958
2018-07,-0.122761,11764,15513
2018-08,1.637296,11956,16007
2018-09,-1.038716,11832,16102
2018-10,-3.743872,11389,14990
2018-11,0.717245,11471,15267
2018-12,-0.160578,11453,13922
2019-01,3.646326,11870,15036
2019-02,0.662051,11949,15526
2019-03,3.037201,12312,15805
2019-04,0.459212,12368,16452
2019-05,0.760011,12462,15401
2019-06,3.607017,12912,16474
2019-07,0.498755,12976,16722
2019-08,4.61607,13575,16443
2019-09,-0.85698,13459,16763
2019-10,0.466375,13522,17133
2019-11,0.664411,13611,17753
2019-12,0.173018,13635,18269
2020-01,3.123151,14061,18261
2020-02,0.05794,14069,16817
2020-03,-3.348366,13598,14717
2020-04,4.352715,14190,16586
2020-05,2.325617,14520,17376
2020-06,1.454857,14731,17684
2020-07,4.71578,15426,18725
2020-08,0.287759,15470,20032
2020-09,-1.360513,15260,19282
2020-10,-2.444568,14886,18802
2020-11,4.761613,15595,20846
2020-12,1.826644,15880,21619
2021-01,-1.605009,15625,21399
2021-02,-1.412703,15405,21994
2021-03,-1.60122,15158,22993
2021-04,3.53574,15694,24209
2021-05,0.948354,15843,24368
2021-06,2.425063,16227,24915
2021-07,2.592349,16648,25523
2021-08,0.467012,16725,26283
2021-09,-2.543278,16300,25057
2021-10,3.474466,16866,26816
2021-11,-0.019095,16863,26600
2021-12,1.028191,17036,27831
2022-01,-2.945627,16535,26363
2022-02,-0.33398,16479,25585
2022-03,-1.06482,16304,26547
2022-04,-6.974184,15167,24217
2022-05,-0.698237,15061,24272
2022-06,-3.82516,14485,22270
2022-07,3.94803,15057,24321
2022-08,-3.962692,14460,23329
2022-09,-7.57795,13364,21172
2022-10,0.129997,13382,22893
2022-11,5.502732,14118,24166
2022-12,-3.127028,13677,22773
2023-01,6.0976,14510,24205
2023-02,-3.903884,13944,23597
2023-03,3.674739,14456,24472
2023-04,0.536534,14534,24863
2023-05,-1.896712,14258,24977
2023-06,1.923189,14533,26596
2023-07,0.931534,14668,27467
2023-08,-2.044453,14368,27020
2023-09,-5.310268,13605,25739
2023-10,-3.046817,13191,25180
2023-11,7.294343,14153,27480
2023-12,5.137618,14880,28734
2024-01,-0.329659,14831,29192
2024-02,0.439259,14896,30715
2024-03,2.236529,15229,31720
2024-04,-4.101526,14604,30441
2024-05,2.198621,14925,31981
2024-06,2.357825,15277,33109
2024-07,2.592874,15674,33510
2024-08,1.633057,15929,34293
2024-09,1.844435,16223,35013
2024-10,-2.528466,15813,34701
2024-11,2.620457,16227,36770
2024-12,-3.871746,15599,35885
2025-01,1.966614,15906,36849
2025-02,2.109935,16242,36381
2025-03,-1.425067,16010,34354
2025-04,-0.91326,15864,34056
2025-05,0.504951,15944,36196
2025-06,3.048363,16430,37944
2025-07,0.160515,16456,38818
2025-08,0.315056,16508,39188
