Date,Open,High,Low,Close,Volume
2007-04-30,56.0598,56.4173,55.89,56.3749,1271784.6768191
2007-05-31,56.284,56.3965,55.7596,55.8337,2029563.2788925
2007-06-30,55.58,55.58,54.7652,55.4673,3322419.5556361
2007-07-31,55.3349,55.8129,54.9588,55.806,1296706.4412435
2007-08-31,55.5976,58.6016,55.4309,56.4035,1901838.4767162
2007-09-30,56.2267,56.8568,56.0421,56.5249,2207039.4571114
2007-10-31,56.2178,57.2083,56.1655,56.8241,4214330.1115931
2007-11-30,56.7036,57.9004,53.2841,57.7297,2994776.8352406
2007-12-31,57.6892,57.8196,56.7461,57.787,7396456.6400114
2008-01-31,58.4368,59.2564,57.4285,58.5057,8188579.8841188
2008-02-29,58.5721,58.6175,57.0404,58.327,4830706.8147688
2008-03-31,57.9458,59.6148,57.1243,58.345,3463586.5155113
2008-04-30,58.0694,58.4199,57.0848,57.9223,7473479.1707045
2008-05-31,57.7781,57.9854,56.8715,57.1243,6145893.4380107
2008-06-30,56.762,57.4157,56.0214,56.9377,4241853.4206256
2008-07-31,56.6326,57.2309,56.0284,56.7275,5437826.7179199
2008-08-31,56.8419,57.3554,56.0074,56.9753,5747878.3789974
2008-09-30,57.0038,58.2777,56.291,56.4706,10215615.543182
2008-10-31,56.203,57.308,50.0332,54.6042,10009148.699707
2008-11-30,54.6339,56.7036,54.5153,56.5249,7216946.0113769
2008-12-31,56.5458,59.1507,56.2336,58.97,8288726.6931797
2009-01-31,58.5571,59.1093,57.5074,57.7503,9132659.0551138
2009-02-28,57.546,58.0141,56.8992,57.1925,9799373.4692204
2009-03-31,56.9694,58.252,56.5458,57.6122,15319062.259165
2009-04-30,57.5618,57.8373,57.0917,57.6715,11953601.266986
2009-05-31,57.3376,58.1632,57.149,57.86,11298752.28619
2009-06-30,57.5982,58.1346,56.7215,58.0141,12016554.798364
2009-07-31,57.6645,58.6016,57.6042,58.5721,14606586.381728
2009-08-31,58.345,58.9768,57.5698,58.97,14994535.518824
2009-09-30,58.736,59.4104,58.6233,59.3699,14739019.078371
2009-10-31,59.2958,59.5989,58.8594,59.3482,22232839.715227
2009-11-30,59.21,59.9832,58.882,59.9189,13343282.801092
2009-12-31,59.7895,59.8212,58.4892,58.6816,18432821.532004
2010-01-31,58.6895,59.4834,58.646,59.443,19929128.92632
2010-02-28,59.2958,59.5298,58.9018,59.4508,15114408.091771
2010-03-31,59.3955,59.5131,58.8762,59.1388,19098054.412533
2010-04-30,58.9768,59.6297,58.5434,59.5912,15786115.972776
2010-05-31,59.3333,60.7405,58.8958,60.0819,20856265.145645
2010-06-30,59.9189,60.8165,59.7431,60.7692,25901764.961837
2010-07-31,60.6824,61.2047,60.4216,61.1216,25054038.132154
2010-08-31,60.944,62.2434,60.863,62.1714,25467267.518217
2010-09-30,61.9423,62.124,61.2955,62.0026,16933992.593868
2010-10-31,61.8001,62.2988,61.6658,62.0272,19955796.530722
2010-11-30,61.9847,62.2553,60.9499,61.4408,21662221.437377
2010-12-31,61.0249,61.1425,59.6434,60.2084,24585875.546863
2011-01-31,60.0276,60.4047,59.765,60.2625,23442747.326966
2011-02-28,59.9988,60.2655,59.2692,60.2655,22239249.904938
2011-03-31,60.1036,61.0348,59.8448,60.1756,21502839.614572
2011-04-30,60.0888,61.0862,59.99,61.0616,18368949.510568
2011-05-31,61.0772,61.8258,61.0229,61.7803,22053535.670905
2011-06-30,61.8909,62.2919,61.4358,61.5452,29287844.891255
2011-07-31,61.6145,62.5783,61.4979,62.5515,24646304.496416
2011-08-31,62.5823,64.2334,62.5339,63.5895,51006212.704363
2011-09-30,63.6853,64.6529,63.4838,64.0081,34908813.665978
2011-10-31,64.1671,64.414,63.3891,64.0744,46670971.02225
2011-11-30,64.2848,64.6214,63.8837,64.0446,40309486.600274
2011-12-31,63.9962,64.8911,63.7909,64.801,40076839.245802
2012-01-31,64.7122,65.2642,64.5197,65.2059,39124331.63737
2012-02-29,65.1961,65.3838,64.8662,65.2425,35602477.206246
2012-03-31,65.0716,65.3106,64.3686,64.9077,30939351.788706
2012-04-30,64.9433,65.6424,64.6283,65.6227,26373274.415531
2012-05-31,65.6997,66.3268,65.5071,66.236,35105353.323079
2012-06-30,66.4491,66.5054,65.9801,66.2853,37167528.568713
2012-07-31,66.3278,67.1937,66.306,67.094,28495634.557682
