Date,Open,High,Low,Close,Volume
2018-09-30,68.2756,68.2944,67.8369,68.033,553905.78878463
2018-10-31,67.9736,68.0785,67.4454,67.82,233269.07609541
2018-11-30,67.8456,68.2102,67.6378,68.1815,529530.83698742
2018-12-31,68.2102,69.2404,68.2102,69.1829,535827.98555493
2019-01-31,69.2673,69.9567,69.0275,69.9259,386498.34526219
2019-02-28,69.8974,70.2192,69.709,69.9813,248954.40704154
2019-03-31,69.9259,71.3793,69.8695,71.3119,263646.4077231
2019-04-30,71.2147,71.3593,70.8898,71.3099,274846.61024899
2019-05-31,71.3139,72.4432,71.2326,72.4432,273690.75338625
2019-06-30,72.5086,73.505,72.4452,73.4784,266563.8106343
2019-07-31,73.496,74.0459,73.2653,74.0022,319681.74273975
2019-08-31,74.0945,75.929,74.0815,75.8041,335102.58940813
2019-09-30,75.8141,76.0133,74.4104,75.3763,405359.50650544
2019-10-31,75.2147,75.7963,74.7206,75.291,714473.99191837
2019-11-30,75.2999,75.2999,74.4441,75.1415,766472.40851224
2019-12-31,74.9227,75.3079,74.8403,74.998,943782.87022115
2020-01-31,75.0909,76.4581,75.0136,76.4372,888106.91078802
2020-02-29,76.3887,77.3406,76.0429,77.3318,1058134.9695207
2020-03-31,77.3406,78.998,70.7898,75.9993,2294832.1584008
2020-04-30,75.9062,77.6023,75.4387,77.3813,897671.75251247
2020-05-31,77.4686,77.7745,76.8066,77.7548,477626.30221734
2020-06-30,77.6209,78.3213,77.2,78.2343,1176653.200936
2020-07-31,78.1203,79.1564,77.9865,79.1464,1132245.0793211
2020-08-31,79.2387,79.3535,78.3431,78.4778,1050561.8357353
2020-09-30,78.4204,78.8741,78.363,78.7007,663019.68610969
2020-10-31,78.573,78.9891,78.4967,78.5641,691065.11437236
2020-11-30,78.7404,79.2516,78.4026,79.2416,700062.6272262
2020-12-31,78.9414,79.3665,78.7602,79.3565,999281.16082648
2021-01-31,79.2811,79.3367,78.5471,78.7542,1231472.1101713
2021-02-28,78.7007,78.7592,76.7502,77.302,1289195.2990522
2021-03-31,77.3486,77.5378,76.5957,76.9732,846032.71150215
2021-04-30,77.1683,77.524,76.9236,77.1584,670118.36336629
2021-05-31,77.097,77.4357,76.7226,77.2595,572079.4928021
2021-06-30,77.1554,77.8034,77.0187,77.6755,741718.90097392
2021-07-31,77.6487,78.782,77.5893,78.6661,524202.79111705
2021-08-31,78.7631,78.996,78.2757,78.3838,535954.17080195
2021-09-30,78.5096,78.5096,77.4705,77.519,813010.53709684
2021-10-31,77.5684,77.6547,76.8602,77.2386,1076539.8449107
2021-11-30,77.1405,78.0836,76.9453,77.7616,589361.82423457
2021-12-31,77.6982,78.1253,77.2099,77.3466,908981.98857378
2022-01-31,77.1614,77.1614,75.9419,75.9974,1035075.3727384
2022-02-28,76.0915,76.1807,74.3944,75.1049,889787.69827839
2022-03-31,75.3953,75.837,72.6678,73.2465,1662598.6441192
2022-04-30,72.8464,73.2039,70.65,70.66,1468510.5919658
2022-05-31,70.5411,71.292,69.9269,70.7194,2262736.6884496
2022-06-30,70.8186,70.8186,67.7239,69.5985,2019447.3788312
2022-07-31,69.9273,71.6261,69.4603,71.5516,758798.78408516
2022-08-31,71.653,71.9117,69.2056,69.2056,901765.71027113
2022-09-30,68.8458,69.2843,66.1255,66.7334,960935.73762065
2022-10-31,67.1718,67.5794,65.0294,66.3092,853130.77837283
2022-11-30,66.7311,68.468,65.8926,68.468,958799.4020594
2022-12-31,68.57,69.4,67.01,67.05,1623865
2023-01-31,67.59,69.54,67.415,68.94,1127339
2023-02-28,68.87,69.64,67.13,67.34,796775
2023-03-31,67.14,69.6,66.74,68.98,738076
2023-04-30,68.8,69.51,68.33,69.1354,867897
2023-05-31,68.87,69.4,67.7224,68.67,1214658
2023-06-30,68.56,68.68,67.95,68.42,787962
2023-07-31,68.19,68.62,67.36,68.16,698748
2023-08-31,67.83,67.97,66.76,67.9,939784
2023-09-30,67.76,67.76,66.0113,66.34,493897
2023-10-31,65.95,66.44,65.11,65.62,882932
2023-11-30,65.52,68.28,65.52,68.04,1315797
2023-12-31,67.93,70.3595,67.78,69.21,1136714
2024-01-31,68.93,69.07,68.1,68.8789,1253420
2024-02-29,69,69.15,67.7,68.1,1182965
2024-03-31,67.84,68.739,67.7941,68.61,1478037
2024-04-30,68.3,68.3,66.88,67.14,1038163
2024-05-31,67.14,68.23,67.04,67.64,1543530
2024-06-30,67.54,68.5097,67.52,68,915878
2024-07-31,67.66,69.32,67.478,69.32,1502907
2024-08-31,69.42,70.32,69.25,69.87,1705256
2024-09-30,69.91,70.9,69.83,70.61,1078816
2024-10-31,70.73,70.7799,69.0909,69.24,1020391
2024-11-30,69.25,70.015,68.7203,70,1198692
2024-12-31,69.99,70.18,67.98,68.19,5197185
2025-01-31,68.27,68.61,67.365,68.45,3479396
2025-02-28,68.6,69.37,68.1101,69.37,1179068
2025-03-31,68.99,69.245,68.17,68.81,1376335
2025-04-30,68.71,69.508,67.8402,69.33,3124889
2025-05-31,69.22,69.22,67.96,68.85,2254889
2025-06-30,68.58,69.36,68.425,69.33,1980853
2025-07-31,69.23,69.235,68.55,69.05,2147261
2025-08-31,69.12,69.37,68.94,69.1658,1521818
