date,portfolio_monthly_return,portfolio_value,sp500_value
2015-09,0.0,10000,10000
2015-10,4.641281,10464,10852
2015-11,0.083464,10473,10891
2015-12,-1.358144,10331,10704
2016-01,-2.976404,10023,10171
2016-02,0.140376,10037,10162
2016-03,4.785094,10518,10846
2016-04,0.602034,10581,10887
2016-05,0.856407,10671,11073
2016-06,0.891452,10767,11112
2016-07,2.648846,11052,11517
2016-08,0.034062,11056,11531
2016-09,0.256037,11084,11532
2016-10,-1.649353,10901,11331
2016-11,1.075025,11018,11749
2016-12,1.293154,11161,11986
2017-01,1.39074,11316,12201
2017-02,2.276507,11574,12682
2017-03,0.272845,11605,12696
2017-04,1.061878,11728,12822
2017-05,1.064156,11853,13005
2017-06,0.522123,11915,13087
2017-07,1.437206,12086,13356
2017-08,0.479116,12144,13395
2017-09,1.215328,12292,13665
2017-10,1.283839,12450,13987
2017-11,1.567908,12645,14414
2017-12,0.987154,12770,14589
2018-01,2.688853,13113,15410
2018-02,-2.795057,12746,14851
2018-03,-0.7758,12648,14444
2018-04,-0.076668,12638,14518
2018-05,1.522184,12830,14871
2018-06,0.172254,12852,14958
2018-07,1.88818,13095,15513
2018-08,1.860865,13339,16007
2018-09,-0.119146,13323,16102
2018-10,-4.864418,12675,14990
2018-11,1.409369,12853,15267
2018-12,-4.403247,12287,13922
2019-01,5.465654,12959,15036
2019-02,1.9665,13214,15526
2019-03,1.558516,13420,15805
2019-04,2.261178,13723,16452
2019-05,-3.051125,13304,15401
2019-06,4.616228,13919,16474
2019-07,0.654825,14010,16722
2019-08,-0.146051,13989,16443
2019-09,0.923299,14118,16763
2019-10,1.511206,14332,17133
2019-11,2.037762,14624,17753
2019-12,1.68342,14870,18269
2020-01,0.484876,14942,18261
2020-02,-3.994062,14345,16817
2020-03,-9.06352,13045,14717
2020-04,8.484922,14152,16586
2020-05,3.389449,14632,17376
2020-06,1.787565,14893,17684
2020-07,3.876225,15471,18725
2020-08,3.685609,16041,20032
2020-09,-2.123937,15700,19282
2020-10,-1.476858,15468,18802
2020-11,7.669026,16654,20846
2020-12,2.714755,17107,21619
2021-01,-0.526705,17016,21399
2021-02,1.122931,17208,21994
2021-03,1.533247,17471,22993
2021-04,3.113774,18015,24209
2021-05,0.538466,18112,24368
2021-06,1.613016,18405,24915
2021-07,1.243874,18634,25523
2021-08,1.532632,18919,26283
2021-09,-3.017702,18348,25057
2021-10,3.701729,19027,26816
2021-11,-0.999935,18837,26600
2021-12,2.15294,19243,27831
2022-01,-4.196711,18435,26363
2022-02,-1.998482,18067,25585
2022-03,0.608468,18177,26547
2022-04,-6.881776,16926,24217
2022-05,0.315223,16979,24272
2022-06,-5.583615,16031,22270
2022-07,6.135305,17015,24321
2022-08,-3.414309,16434,23329
2022-09,-7.266102,15240,21172
2022-10,4.005627,15850,22893
2022-11,5.128399,16663,24166
2022-12,-3.863668,16019,22773
2023-01,5.609949,16918,24205
2023-02,-2.739795,16454,23597
2023-03,2.393797,16848,24472
2023-04,0.844219,16990,24863
2023-05,-0.600172,16888,24977
2023-06,3.382811,17460,26596
2023-07,2.060137,17819,27467
2023-08,-1.692967,17518,27020
2023-09,-4.098735,16800,25739
2023-10,-2.353219,16404,25180
2023-11,7.268847,17597,27480
2023-12,4.001084,18301,28734
2024-01,0.403923,18375,29192
2024-02,2.374645,18811,30715
2024-03,1.946608,19177,31720
2024-04,-3.548983,18497,30441
2024-05,2.383748,18938,31981
2024-06,2.545127,19420,33109
2024-07,1.966926,19802,33510
2024-08,1.772264,20152,34293
2024-09,1.455396,20446,35013
2024-10,-1.805473,20077,34701
2024-11,3.860892,20852,36770
2024-12,-2.984492,20229,35885
2025-01,2.063108,20647,36849
2025-02,-0.137753,20618,36381
2025-03,-3.401522,19917,34354
2025-04,-0.180554,19881,34056
2025-05,3.27418,20532,36196
2025-06,3.25979,21201,37944
2025-07,0.925679,21398,38818
2025-08,0.969379,21605,39188
