Date,Open,High,Low,Close,Volume
2006-02-28,21.963,22.604,20.262,21.223,9356530
2006-03-31,21.215,22.031,20.534,21.817,9522001
2006-04-30,22.031,23.886,21.642,23.342,9574997
2006-05-31,23.459,24.762,22.876,23.255,13668260
2006-06-30,22.963,23.625,21.72,23.051,7692906
2006-07-31,23.372,24.363,22.885,23.566,6634652
2006-08-31,23.605,24.11,22.293,22.779,6127655
2006-09-30,22.807,22.876,20.836,21.826,7985972
2006-10-31,21.865,22.555,20.806,22.041,8416726
2006-11-30,22.011,23.605,21.865,23.488,5638450
2006-12-31,23.557,23.643,22.584,22.944,4727042
2007-01-31,22.662,22.721,20.816,22.4,8192187
2007-02-28,22.546,23.799,22.041,23.615,5586218
2007-03-31,23.44,24.1,22.438,23.693,5812973
2007-04-30,23.352,24.227,23.148,23.867,5045630
2007-05-31,23.896,24.032,23.148,23.819,5653995
2007-06-30,23.741,24.956,23.702,23.994,9685201
2007-07-31,24.324,24.936,23.858,24.451,5869158
2007-08-31,24.451,24.635,22.05,23.984,5825321
2007-09-30,24.081,26.394,23.984,26.238,4832515
2007-10-31,27.064,28.473,25.209,28.473,7296110
2007-11-30,28.269,30.805,27.735,28.299,12294153
2007-12-31,28.367,30.504,28.026,30.194,7530667
2008-01-31,30.67,31.37,29.018,31.078,15018551
2008-02-29,31.136,35.296,30.495,34.538,18517269
2008-03-31,35.344,37.618,29.416,34.217,35434177
2008-04-30,33.77,37.696,33.594,36.287,19626605
2008-05-31,35.49,40.708,34.917,38.794,19571241
2008-06-30,38.735,43.964,37.648,42.837,20033837
2008-07-31,43.381,44.615,37.793,38.648,32459518
2008-08-31,37.686,39.047,34.819,36.122,19176497
2008-09-30,34.547,35.296,30.33,32.419,19491489
2008-10-31,32.05,32.06,22.769,24.295,22967641
2008-11-30,24.314,25.985,20.524,21.283,17503453
2008-12-31,21.263,21.525,18.571,20.592,32614104
2009-01-31,20.952,22.244,18.96,19.679,21993563
2009-02-28,19.436,20.262,17.638,18.571,18763865
2009-03-31,18.124,20.786,17.434,19.436,40612637
2009-04-30,19.242,20.758,18.561,19.416,38483996
2009-05-31,19.631,22.594,19.533,22.575,52201366
2009-06-30,22.925,23.625,21.525,21.982,62984064
2009-07-31,22.235,22.4,19.825,22.39,52871524
2009-08-31,22.867,23.323,21.283,21.486,41079300
2009-09-30,21.564,22.147,20.621,21.438,38819685
2009-10-31,21.612,24.314,20.854,22.925,46598510
2009-11-30,22.925,24.227,22.885,23.964,46632674
2009-12-31,24.217,24.353,22.662,23.926,46635250
2010-01-31,24.46,25.004,22.021,22.05,41947571
2010-02-28,22.186,23.323,21.215,22.963,61798471
2010-03-31,23.06,23.362,22.235,22.857,42890089
2010-04-30,23.119,24.022,23.07,23.751,33790573
2010-05-31,23.799,23.964,20.252,21.341,57009006
2010-06-30,21.147,22.127,20.573,20.962,44620997
2010-07-31,20.864,22.274,20.485,22.244,27415873
2010-08-31,22.672,23.051,21.02,21.574,40103244
2010-09-30,21.865,23.44,21.865,23.43,26778806
