Date,Open,High,Low,Close,Volume
2006-07-31,49.35,50.77,48.98,50.75,469600
2006-08-31,50.75,52.05,46.45,47.13,2065900
2006-09-30,47,47,40.25,42.07,2294200
2006-10-31,42.05,42.76,39.74,41,1971000
2006-11-30,41.05,43.19,40.06,43.05,3210600
2006-12-31,42.85,43.1,39.51,40.07,3565500
2007-01-31,39.5,40,35.53,39.05,3758900
2007-02-28,38.95,41.41,38.21,40.5,2763800
2007-03-31,40.5,42.17,38.83,41.5,2205700
2007-04-30,41.8,42.5,40.59,41.69,3004400
2007-05-31,41.8,42.22,39.65,41.2,2145500
2007-06-30,41.18,43.2,40.93,42.49,2601900
2007-07-31,42.31,44.86,42.15,44.52,2570300
2007-08-31,44.55,44.62,40.3,43.1,1988400
2007-09-30,43,48.1,42.95,47.17,1611900
2007-10-31,47.3,51.78,45.25,50,2246600
2007-11-30,51.38,53.34,49.31,49.77,2529509
2007-12-31,49.8,53.85,48.45,52.74,2098177
2008-01-31,53.75,55.15,49.45,52.5,4468415
2008-02-29,52.3,59.16,50.97,58.41,4523831
2008-03-31,59.56,62.4,55.53,57.86,6624738
2008-04-30,57.06,64.95,56.3,62.6,5047204
2008-05-31,62.07,71.06,60.62,67.9,3981947
2008-06-30,67.69,75.65,66,74.91,5530303
2008-07-31,75.53,76.58,63.4,64.93,8422087
2008-08-31,64.27,66.35,58.1,60.07,6208963
2008-09-30,56.51,57.91,49.7,53.8,7246851
2008-10-31,52.14,52.69,35.28,37.84,6130961
2008-11-30,37.24,40.4,30.11,32.21,4892667
2008-12-31,31.5,31.81,25.26,28.61,9274694
2009-01-31,28.4,31.67,25.28,25.65,6875400
2009-02-28,25.28,26.54,21.85,24.08,8061061
2009-03-31,23.15,29.14,22.31,25.18,9577544
2009-04-30,24.74,26.45,23.8,24.79,10747679
2009-05-31,25.32,30.12,25.18,30.12,12393258
2009-06-30,30.6,32.07,29.1,30.05,20802039
2009-07-31,30.47,30.6,26.19,30.27,10753678
2009-08-31,30.95,32.72,28.74,30.4,10559230
2009-09-30,30.69,30.81,27.95,29.68,9672323
2009-10-31,29.48,33.72,28.75,31.11,19958173
2009-11-30,31.22,32.95,30.37,31.51,8334493
2009-12-31,31.84,32.29,29.41,31.82,8683049
2010-01-31,32.4,33.5,29.02,29.24,11504470
2010-02-28,29.34,31.22,27.97,30.97,6461744
2010-03-31,31.03,31.53,30.15,31.16,10134985
2010-04-30,31.58,32.65,31.16,32.14,5956600
2010-05-31,32.19,32.49,25.95,27.77,11420243
2010-06-30,27.44,29.5,26.76,27.79,8047350
2010-07-31,27.69,29.43,26.94,29.39,6302455
2010-08-31,30.07,30.61,27.25,27.78,9034543
2010-09-30,28.09,30.12,28.05,30.01,7514377
2010-10-31,30.37,31.65,30.15,30.88,10206880
2010-11-30,31.42,33.11,30.23,31.26,9894446
2010-12-31,31.7,34.3,31.7,34.1,11770350
2011-01-31,34.37,35.34,33.07,35.16,9197608
2011-02-28,35.23,36.5,34.14,36.09,16467560
2011-03-31,36.39,38.16,34.99,37.35,14425582
2011-04-30,37.36,39.37,37.31,38.94,9130404
2011-05-31,39,39.18,33.95,36.27,11896648
2011-06-30,36.21,36.65,32.6,34.11,9557551
2011-07-31,33.93,36.19,33.5,35.19,6585844
2011-08-31,35.87,35.9,31.09,34.59,11200677
2011-09-30,34.52,34.6,30.13,30.19,5395615
2011-10-31,29.92,33.88,29.02,33.29,5259155
2011-11-30,32.37,34.4,32.33,33.79,5292478
2011-12-31,33.6,33.96,31.11,32.98,6160926
2012-01-31,33.53,34.44,33.18,33.77,4979564
2012-02-29,33.95,36.43,33.37,35.87,5497843
2012-03-31,35.92,36.72,34.51,34.78,5107827
2012-04-30,34.54,35.45,33.8,34.66,4183106
2012-05-31,34.5,34.85,29.98,30.23,5614069
2012-06-30,29.5,30.59,28.3,30.44,5149563
2012-07-31,30.27,33.37,30.01,32.23,2965559
2012-08-31,32.66,34.75,32.01,34.54,3648104
2012-09-30,34.74,35.52,32.5,33.8,6928152
2012-10-31,33.99,34.39,32.25,32.44,4249615
2012-11-30,32.46,33.08,31.6,32.96,2914850
2012-12-31,33.29,33.48,31.93,32.79,6146660
2013-01-31,33.19,34.29,32.53,34.29,4126488
2013-02-28,34.29,34.57,32.54,32.54,4784935
2013-03-31,32.35,33,32.03,32.9,4606877
2013-04-30,32.61,32.94,29.95,31.29,4977348
2013-05-31,30.73,31.84,30.52,30.81,4223086
2013-06-30,31.04,32.21,30.48,30.8,4266999
2013-07-31,30.99,33.51,30.93,32.54,5771750
2013-08-31,32.86,34.28,31.71,33.55,3605582
2013-09-30,33.61,34.23,32.09,32.38,11650977
2013-10-31,32.06,32.96,31.56,31.91,7571166
2013-11-30,31.54,31.83,30.82,31.76,3652559
2013-12-31,31.63,32.72,31.5,32.19,4405581
2014-01-31,31.9,31.92,30.59,31.48,10226516
2014-02-28,31.39,33.25,31.26,32.99,3363058
2014-03-31,33.49,33.7,32.33,32.97,3990129
2014-04-30,32.82,34,32.21,33.3,3133075
2014-05-31,33.07,33.68,32.92,33.13,10400435
2014-06-30,33,34.33,32.76,33.92,9656903
2014-07-31,33.88,33.94,31.88,32,9181481
2014-08-31,31.8,31.91,30.79,31.5,6192460
2014-09-30,31.14,31.34,29.3,29.59,3719785
2014-10-31,29.57,29.83,27.21,27.83,4409367
2014-11-30,27.72,27.88,24.95,25.02,5863697
2014-12-31,25,25.42,21.22,21.58,17658516
2015-01-31,21.27,21.43,18.81,19.7,9857102
2015-02-28,20.05,21.34,19.77,20.87,5767498
2015-03-31,20.71,20.93,18.83,19.5,4937887
2015-04-30,19.6,21.68,19.51,21.63,4094596
2015-05-31,21.54,22.34,20.47,21.16,5146802
2015-06-30,21.19,21.59,20.43,21.11,3671405
2015-07-31,20.9,21,18.08,18.12,5466651
2015-08-31,17.84,18.34,15.9,18.17,6889295
2015-09-30,17.87,18.01,16.82,17.08,3935326
2015-10-31,17.32,18.03,16.44,17.07,4465670
2015-11-30,16.93,17.38,15.44,15.51,5357681
2015-12-31,15.57,15.68,13.84,14.23,17022553
2016-01-31,14.37,14.4799,12.0281,13.48,9484013
2016-02-29,13.26,13.48,12.205,13.2,6324991
2016-03-31,13.15,14.54,13.07,13.78,19485042
2016-04-30,13.53,15.32,13.19,15.22,10597513
2016-05-31,15.17,15.67,14.39,15.42,7128019
2016-06-30,15.28,16.26,15.0201,15.54,8044909
2016-07-31,15.48,15.72,13.77,13.96,15440576
2016-08-31,13.83,15.2099,13.56,14.24,11579445
2016-09-30,14.1,14.85,13.953,14.82,3558780
2016-10-31,14.83,15.434,14.56,14.56,4219925
2016-11-30,14.68,15.04,13.7001,14.92,5197623
2016-12-31,15.18,15.775,15.13,15.67,7073912
2017-01-31,15.85,15.89,15.09,15.43,7254370
2017-02-28,15.53,15.73,15.28,15.45,9274192
2017-03-31,15.51,15.542,14.24,14.82,8536358
2017-04-30,14.79,15.25,14.25,14.43,10385023
2017-05-31,14.44,14.87,13.83,14.26,5653532
2017-06-30,14.25,14.39,13.16,14.02,18323786
2017-07-31,14.09,14.62,13.65,14.61,4462428
2017-08-31,14.49,14.59,13.9255,14.46,3009237
2017-09-30,14.44,15.14,14.36,14.9,5345172
2017-10-31,14.68,15.52,14.59,15.48,4490089
2017-11-30,15.56,16.07,15.43,15.68,7483096
2017-12-31,15.81,16.38,15.31,16.28,5269950
2018-01-31,16.41,17.21,16.3,16.89,9092514
2018-02-28,16.96,17.11,15.6497,16.27,20115790
2018-03-31,16.2,16.75,16.06,16.65,8819871
2018-04-30,16.6,17.57,16.02,17.42,14818344
2018-05-31,17.38,18.31,17.21,17.69,11355789
2018-06-30,17.57,17.96,16.87,17.91,9338941
2018-07-31,17.85,17.863,16.6816,17.26,7005452
2018-08-31,17.06,17.54,16.49,17.44,8355711
2018-09-30,17.52,18.18,17,18.11,4588283
2018-10-31,18.12,18.81,16.9819,16.99,13933830
2018-11-30,17.07,17.09,14.89,15.11,26211820
2018-12-31,15.49,15.73,13.5,14.02,19590521
2019-01-31,13.82,15.42,13.78,15.19,21911581
2019-02-28,15.21,15.9,14.905,15.72,12409247
2019-03-31,15.72,16.18,15.29,15.95,10247372
2019-04-30,16.05,16.83,16.045,16.39,17569535
2019-05-31,16.42,16.47,14.97,15.01,13970257
2019-06-30,15.14,15.995,14.59,15.65,18446312
