Date,Open,High,Low,Close,Volume
2011-02-28,35.6745,36.5058,35.2279,36.2864,1290303.8767809
2011-03-31,36.398,36.7903,32.8379,36.197,2023644.9405909
2011-04-30,36.3019,38.1654,35.4852,38.0674,1181661.7859701
2011-05-31,38.2266,38.3354,35.1725,36.9253,1595297.3186589
2011-06-30,36.9331,36.9331,34.3801,36.4738,1623525.9532513
2011-07-31,36.3572,36.8855,34.8928,35.8396,3629168.7419455
2011-08-31,36.3912,36.3912,30.2004,32.8099,3533224.5423964
2011-09-30,32.7826,33.073,27.9027,28.6545,3543163.7238463
2011-10-31,28.3544,33.5575,27.0298,31.5997,5628847.197967
2011-11-30,30.5772,32.0136,27.8852,30.9258,2832985.9368218
2011-12-31,30.7122,31.2531,28.633,30.0061,5484636.3891225
2012-01-31,30.7414,32.6243,29.946,32.2068,3160894.4848751
2012-02-29,32.5874,34.245,32.5583,33.6722,3483342.249751
2012-03-31,33.9392,34.2033,32.3612,33.4886,4507392.0139271
2012-04-30,33.4187,34.0111,31.7367,32.7951,2860170.401295
2012-05-31,32.8021,33.1525,28.9107,29.2429,3294119.8826434
2012-06-30,28.768,30.9881,28.4728,30.9881,5828399.0231271
2012-07-31,31.0569,31.5309,29.509,31.0861,2764623.6866236
2012-08-31,31.3463,32.7951,30.5423,31.8922,6870716.6156208
2012-09-30,31.8377,34.3354,31.4862,32.9768,3050753.0728675
2012-10-31,33.4022,34.114,32.6875,33.2468,4268980.3783261
2012-11-30,33.4022,34.0276,32.099,33.9333,4841045.5571429
2012-12-31,34.1227,35.991,33.9033,35.1103,6377835.3672609
2013-01-31,35.7454,36.1193,35.0074,35.9562,6654660.9300071
2013-02-28,36.2242,36.3427,34.9326,35.5444,5321394.7045657
2013-03-31,35.3629,36.3291,35.2667,35.8756,4852279.1388293
2013-04-30,35.7581,37.208,35.0404,37.1302,5123596.5497339
2013-05-31,37.2585,38.2072,35.9076,35.9076,5441617.4040158
2013-06-30,36.0853,36.4213,33.2818,34.616,7812908.1793207
2013-07-31,35.0278,36.9982,34.3287,36.2155,6219995.7699281
2013-08-31,36.5651,37.2371,35.5104,35.5104,6041825.7478787
2013-09-30,36.1504,39.2288,35.9853,38.1772,4934987.9157536
2013-10-31,38.3209,40.2252,37.7343,39.5774,7772999.049993
2013-11-30,39.4308,39.9347,38.5346,39.6298,5861236.8346953
2013-12-31,39.5842,40.2951,38.2897,40.2348,5831357.5051315
2014-01-31,39.8105,40.1572,37.8304,38.0596,8600578.0116879
2014-02-28,38.0974,40.3504,37.3304,40.1892,6779802.7622572
2014-03-31,39.5658,40.6476,38.8034,40.3854,6023120.2742942
2014-04-30,40.6476,40.9807,39.6289,40.8962,7679811.5007486
2014-05-31,40.9661,41.8381,40.6757,41.6867,6813385.0856558
2014-06-30,41.9139,42.7237,41.6537,42.4713,8845726.2951386
2014-07-31,42.8239,43.0801,41.7217,41.7342,7128560.730826
2014-08-31,41.7265,42.448,40.7641,42.2208,6576611.7879834
